video_id,comment_id,author,parent
pHSb00vip60,Ugx42iNHlCMPtlxzlmd4AaABAg,@tuphan5850,
pHSb00vip60,UgyBagtzHjPr_NEop_p4AaABAg,@CaucacungMrDon,
pHSb00vip60,UgzN3liRhTRNj9xpseR4AaABAg,@phungnguyen4311,
pHSb00vip60,UgylQyYd79JKUd3XX814AaABAg,@tribe6337,
pHSb00vip60,UgxjFOEOJK14YUW0qqR4AaABAg,@CòiiDanh,
pHSb00vip60,UgylD3defUoEzs-TIy54AaABAg,@KhanhBang-09-k6y,
pHSb00vip60,UgwZEgwnBbjiJ1sqBWl4AaABAg,@NgânPhạmThị-h8j,
pHSb00vip60,UgzkwruQL1CJu4bUnhR4AaABAg,@vunguyen3651,
pHSb00vip60,UgxNqGyM_iGPHRYKh894AaABAg,@dangnguyenhai5519,
pHSb00vip60,UgzENxpEpitqgwlJIHJ4AaABAg,@mie301,
pHSb00vip60,UgxLXqHq4I3bF-9osJZ4AaABAg,@Spu-jk3lg,
pHSb00vip60,Ugwv4QP7aiGIh_RnNO54AaABAg,@phongvo3232,
pHSb00vip60,UgzH4HjP7Uqs5vYVXAp4AaABAg,@tienn9278,
pHSb00vip60,Ugx_Xsw5CHxI-KEwrYd4AaABAg,@Fast-kun,
pHSb00vip60,Ugx_Xsw5CHxI-KEwrYd4AaABAg.APpL4PY_I-pAPrDehSyZuE,@diamondsport3733,@Fast-kun
pHSb00vip60,UgyO_Eb7P0l2ImZy9t14AaABAg,@HOANGLONGLE-d9j,
pHSb00vip60,UgyA_HdiDPiFw2ex38x4AaABAg,@gaad1324,
pHSb00vip60,UgzmAe6zK4J6YzfZ0CZ4AaABAg,@tuanhungnguyenac1746,
pHSb00vip60,UgyRcMA4euN6MXfamF94AaABAg,@SadBig-x5m,
pHSb00vip60,UgxWDkHznTJ8kBS4nQh4AaABAg,@duckienwizard,
pHSb00vip60,UgzcDtglrlQU1TRyiEZ4AaABAg,@BichthuyTruong-p4f9g,
pHSb00vip60,UgwHRhkFqIbEncd1AEp4AaABAg,@Tieu_Boi,
pHSb00vip60,Ugx2J8eGm-H82lb3Fnt4AaABAg,@ThongNguyen-n1j8t,
pHSb00vip60,UgxVU0uzYqBU4dChVwV4AaABAg,@BảoNgọcTrương-j6h2u,
pHSb00vip60,UgyPfpWi1EolIXcM_gF4AaABAg,@TienNguyen-qr7eg,
pHSb00vip60,Ugy_B-g5GhsosR5-dFt4AaABAg,@liennguyen5519,
pHSb00vip60,UgxGaX-1wgaUWFgo8T94AaABAg,@BaoNguyen-le9fr,
pHSb00vip60,Ugya58UAXwICSN67n914AaABAg,@ThienNguyen-kz4ed,
pHSb00vip60,UgyKcTUaS1TtGYUZJVd4AaABAg,@kieugiang2000,
pHSb00vip60,UgxFkZA2u8zGkpIgkLR4AaABAg,@Thảothanh-y3u,
pHSb00vip60,UgzBIBrXvIdXNAH6dx54AaABAg,@Ducphongg-29,
pHSb00vip60,Ugwz6gtqcxDvI9Ddb1x4AaABAg,@hha-f2,
pHSb00vip60,UgxsJpYr2cuOc8oPPcp4AaABAg,@HăngHà-m1q,
pHSb00vip60,UgyD1xYglLzTi5BLq3p4AaABAg,@LanHoàng-x4z,
pHSb00vip60,UgyD1xYglLzTi5BLq3p4AaABAg.APov--EKzXZAPox0XnoBMR,@14nguyenngan37,@LanHoàng-x4z
pHSb00vip60,UgwIJMqAZQ9omiMHb094AaABAg,@GiaoHuynh-k4x,
pHSb00vip60,UgxpPeTzk5ggjkWzzNR4AaABAg,@ThảoLê-q9p,
pHSb00vip60,UgwG_CjD_hcYe0Yfpbx4AaABAg,@khoa1009,
pHSb00vip60,UgzAKuKUwhHYzrWxzwF4AaABAg,@vienkhach-wr6os,
pHSb00vip60,UgyONfsN8uaKgIsATo94AaABAg,@HuyNguyenYT,
pHSb00vip60,UgynefGV40Vj1wCDqxx4AaABAg,@Vantai-vlog,
pHSb00vip60,UgyWhJ0XqHhxThNc-kt4AaABAg,@ThànhĐạtNguyễn-p9f,
pHSb00vip60,UgyWhJ0XqHhxThNc-kt4AaABAg.APoqSLn_tBVAPoqVvQnoh5,@ThànhĐạtNguyễn-p9f,@ThànhĐạtNguyễn-p9f
pHSb00vip60,Ugx53rtK2kd73Ota9094AaABAg,@minhtriofficial1702,
pHSb00vip60,UgxH7IznKH9jI4dyiQh4AaABAg,@TriNguyen,
pHSb00vip60,Ugybxz1penAYQUqIJD94AaABAg,@vienkhach-wr6os,
pHSb00vip60,UgyX4xoe8bxwdXN-hGB4AaABAg,@taotran4322,
pHSb00vip60,UgwMP5mACDYnQqNxBSZ4AaABAg,@ninhan2824,
pHSb00vip60,Ugzdw85x0e-zY6e63oh4AaABAg,@hauDoan-q6f,
pHSb00vip60,UgyzpcVzsKA_-SiPm1N4AaABAg,@huynhvankhang71c3,
pHSb00vip60,Ugy2IosrvDkoKcK7vIV4AaABAg,@PhátHùynh-j8f,
pHSb00vip60,Ugy0afl5_MoVTFBgDKF4AaABAg,@HuyNguyễn-v4u3egktgyth,
pHSb00vip60,UgxjWwjGesGubVN2xrt4AaABAg,@anhkhoabui5799,
pHSb00vip60,UgzDGaz8Nt2U3oyJHYt4AaABAg,@athu10209,
pHSb00vip60,UgzsDOJud_nuknPjiYR4AaABAg,@kyomaxx2609,
pHSb00vip60,UgzsDOJud_nuknPjiYR4AaABAg.APogdA7aCa_APohAMzSJLK,@danthanh8259,@kyomaxx2609
pHSb00vip60,UgxHq9TLnywK32jS2oN4AaABAg,@HưngVõ-g2m,
pHSb00vip60,UgxcG5yIWfyzpsp__IN4AaABAg,@NhânVõ-l1u,
pHSb00vip60,UgwyeViPagTDKrtolXl4AaABAg,@ƠnCảm-b4w,
pHSb00vip60,UgwH--Re3DblOjuLICl4AaABAg,@HoàiLan,
pHSb00vip60,UgwuEkogh6_mfpLBes14AaABAg,@ĐứcDuyNguyễn-x9r,
pHSb00vip60,UgxUXaIEghwLWrg3T294AaABAg,@ToanNguyen-s8l1g,
pHSb00vip60,Ugw_dS147cSoakEmeLR4AaABAg,@ƠnCảm-b4w,
pHSb00vip60,UgxBRueYVNU0iiH9_ud4AaABAg,@nguyenthanhbao6840,
pHSb00vip60,Ugxh14e0HJLhZvTNCIR4AaABAg,@dang_loading,
pHSb00vip60,Ugxrkjk9DQG1BM76Rnd4AaABAg,@BôngBông-r7c,
pHSb00vip60,UgyEbYTCTpR0RqqyXht4AaABAg,@phimtv3083,
pHSb00vip60,Ugw-r8qfz2_KR2ZuH_Z4AaABAg,@ThanhThuyNguyen-e6u,
pHSb00vip60,UgxbGiRmixHOrVrSJUB4AaABAg,@noc4138,
pHSb00vip60,Ugz93P5kJwjcjqdqOYN4AaABAg,@sonvlog9527,
pHSb00vip60,Ugwm7llFJDnhUk3kRHh4AaABAg,@vanthiennguyen4414,
pHSb00vip60,Ugw0ZUpsRG3aW7OxrZV4AaABAg,@vuvu4561,
pHSb00vip60,Ugy8MwIDVZYTSelnGfB4AaABAg,@KOHAGM,
pHSb00vip60,UgzgEqv6c2NVnZDz6QN4AaABAg,@LâmĐôNhưNgoc,
pHSb00vip60,UgzYss0zPSf8ppDQ4G54AaABAg,@oanhkim2733,
pHSb00vip60,UgzYss0zPSf8ppDQ4G54AaABAg.APoUTXwynJ-APqy6d2gEat,@VũNguyễn-v7z,@oanhkim2733
pHSb00vip60,UgzYss0zPSf8ppDQ4G54AaABAg.APoUTXwynJ-APrDWpUjd7Y,@diamondsport3733,@oanhkim2733
pHSb00vip60,UgwD7v0NJ2_tLO_0QgR4AaABAg,@ksksiwivjdjsk,
pHSb00vip60,UgxRZTS7MWncGx0-TLt4AaABAg,@leailong2345,
pHSb00vip60,UgygJo_W_XvINFB6QpB4AaABAg,@KhangPhạm-u5v,
pHSb00vip60,UgzoFC_nJ3RRIDJIfCV4AaABAg,@TấntàiHuỳnh-k3u,
pHSb00vip60,UgwLjcjA_CwckVGXVQF4AaABAg,@hiennguyenthe3288,
pHSb00vip60,Ugw1aIZSga-dEvc_XRx4AaABAg,@MạnhCườngNguyễn-c8g,
pHSb00vip60,UgzzEj-8LamaW2OYR1V4AaABAg,@MinhLongHuynhTran,
pHSb00vip60,UgzgFyxIaT7gHEBvZIJ4AaABAg,@tranminhduc07,
pHSb00vip60,UgwddsbhXQFf34FbR6J4AaABAg,@emcuong25,
